day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon decay,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
10,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9511101304657719,0.0001,0.5,50,40,34,5,10,0,5,4,10,0,0,0,10,2,3,8,16,0,1,5,63,0,5,4,62,0,0,-2504,41,4,0,45,0,0,0
11,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.946354579813443,0.0001,0.5,50,50,8,1,5,0,0,0,1,0,1,7,11,0,9,3,17,3,0,1,63,0,3,0,59,0,1,-1233,20,3,0,23,0,0,0
12,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9416228069143757,0.0001,0.5,50,57,36,5,12,0,1,2,15,1,0,3,24,0,5,2,21,0,2,5,66,0,1,2,69,1,0,-1871,31,1,0,32,0,0,0
13,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9369146928798039,0.0001,0.5,50,64,0,0,0,0,0,0,0,0,0,7,32,0,2,0,19,0,4,0,58,0,0,0,66,0,0,-2220,37,0,0,37,0,0,0
14,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9322301194154049,0.0001,0.5,50,49,37,9,9,1,1,4,12,0,1,7,16,0,4,2,20,0,0,9,60,1,1,4,74,0,1,-3180,53,0,0,53,0,0,0
15,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9275689688183278,0.0001,0.5,50,62,3,1,0,0,0,1,1,0,0,1,22,2,8,8,19,0,2,2,53,0,0,1,72,0,0,-1451,24,1,0,25,0,0,0
16,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9229311239742362,0.0001,0.5,50,47,43,7,17,0,4,0,14,1,0,4,19,0,7,4,11,0,2,7,57,0,4,0,80,1,0,-2422,40,2,0,42,0,0,0
17,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.918316468354365,0.0001,0.5,50,42,0,0,0,0,0,0,0,0,0,0,15,0,0,5,20,0,2,0,51,0,0,0,77,0,0,-1604,26,4,0,30,0,0,0
18,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9137248860125932,0.0001,0.5,50,37,28,8,13,1,0,1,5,0,0,2,12,0,0,6,14,1,2,8,61,1,0,1,79,0,0,-2160,36,0,0,36,0,0,0
19,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9091562615825302,0.0001,0.5,50,36,0,0,0,0,0,0,0,0,0,3,14,2,2,0,15,0,0,3,60,0,0,0,75,0,0,-1522,25,2,0,27,0,0,0
20,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9046104802746175,0.0001,0.5,50,55,27,6,10,0,0,2,9,0,0,0,23,0,7,2,21,0,2,6,62,0,0,2,80,0,0,-1260,21,0,0,21,0,0,0
21,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.9000874278732445,0.0001,0.5,50,55,4,0,0,0,1,0,3,0,0,4,13,4,3,10,19,0,2,2,48,0,1,0,78,0,0,-1800,30,0,0,30,0,0,0
22,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8955869907338783,0.0001,0.5,50,42,35,5,15,0,3,2,9,0,1,0,18,0,3,4,17,0,0,5,56,0,3,2,80,0,1,-2313,38,3,0,41,0,0,0
23,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8911090557802088,0.0001,0.5,50,52,0,0,0,0,0,0,0,0,0,2,13,4,5,3,25,0,0,0,51,0,0,0,76,0,0,-1320,22,0,0,22,0,0,0
24,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8866535105013078,0.0001,0.5,50,50,32,3,13,0,3,3,9,0,1,5,17,0,1,6,21,0,0,3,61,0,3,3,79,0,1,-2591,43,1,0,44,0,0,0
25,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8822202429488013,0.0001,0.5,50,55,0,0,0,0,0,0,0,0,0,3,12,1,9,4,25,0,1,0,54,0,0,0,78,0,0,-1942,32,2,0,34,0,0,0
26,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8778091417340573,0.0001,0.5,50,49,26,5,13,0,2,1,5,0,0,8,9,0,4,0,26,0,2,5,64,0,2,1,78,0,0,-2820,47,0,0,47,0,0,0
27,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8734200960253871,0.0001,0.5,50,66,0,0,0,0,0,0,0,0,0,1,17,0,7,5,30,0,6,0,61,0,0,0,77,0,0,-2220,37,0,0,37,0,0,0
28,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8690529955452602,0.0001,0.5,50,47,24,9,8,0,1,2,4,0,0,2,13,0,3,2,23,0,4,9,62,0,1,2,76,0,0,-3240,54,0,0,54,0,0,0
29,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8647077305675338,0.0001,0.5,50,58,6,0,2,0,0,0,4,0,0,4,13,0,9,8,21,0,3,1,62,0,0,0,74,0,0,-1680,28,0,0,28,0,0,0
30,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8603841919146962,0.0001,0.5,50,62,29,8,10,0,1,0,8,1,1,5,22,0,4,3,26,0,2,8,63,0,1,0,70,1,1,-2193,36,3,0,39,0,0,0
31,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8560822709551227,0.0001,0.5,50,50,17,3,7,0,1,0,5,0,1,8,22,0,2,3,14,0,1,4,61,0,1,0,64,0,1,-1920,32,0,0,32,0,0,0
32,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.851801859600347,0.0001,0.5,50,52,20,3,9,1,1,0,6,0,0,5,12,0,11,0,24,0,0,3,66,1,1,0,67,0,0,-2220,37,0,0,37,0,0,0
33,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8475428503023453,0.0001,0.5,50,50,14,6,4,0,0,1,3,0,0,6,20,0,2,4,18,0,0,6,62,0,0,1,66,0,0,-2100,35,0,0,35,0,0,0
34,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8433051360508336,0.0001,0.5,50,49,27,7,9,2,1,0,8,0,0,2,15,0,4,2,24,2,0,7,66,2,1,0,67,0,0,-1860,31,0,0,31,0,0,0
35,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8390886103705794,0.0001,0.5,50,48,5,0,1,0,0,0,3,0,1,7,9,0,11,4,15,0,2,3,59,0,0,0,67,0,1,-1871,31,1,0,32,0,0,0
36,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8348931673187264,0.0001,0.5,50,31,28,9,7,0,2,2,8,0,0,1,12,0,1,2,15,0,0,9,65,0,2,2,68,0,0,-2160,36,0,0,36,0,0,0
37,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8307187014821328,0.0001,0.5,50,50,0,0,0,0,0,0,0,0,0,3,20,0,2,9,12,0,4,7,62,0,0,0,64,0,0,-1102,18,2,0,20,0,0,0
38,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8265651079747222,0.0001,0.5,50,43,33,2,18,0,2,1,10,0,0,2,12,0,7,2,20,0,0,2,76,0,2,1,69,0,0,-2084,34,4,0,38,0,0,0
39,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8224322824348486,0.0001,0.5,50,55,0,0,0,0,0,0,0,0,0,4,21,2,6,4,17,0,1,0,74,0,0,0,64,0,0,-1871,31,1,0,32,0,0,0
40,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8183201210226743,0.0001,0.5,50,24,26,5,11,0,1,3,6,0,0,3,10,0,0,0,9,0,2,5,78,0,1,3,63,0,0,-2471,41,1,0,42,0,0,0
41,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8142285204175609,0.0001,0.5,50,56,0,0,0,0,0,0,0,0,0,2,19,1,6,4,21,2,1,1,76,0,0,2,62,0,0,-900,15,0,0,15,0,0,0
42,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.810157377815473,0.0001,0.5,50,39,25,4,9,1,2,2,7,0,0,0,18,0,1,2,14,0,4,4,77,1,2,2,64,0,0,-2411,40,1,0,41,0,0,0
43,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8061065909263957,0.0001,0.5,50,46,0,0,0,0,0,0,0,0,0,3,21,0,2,4,13,2,1,2,77,0,0,0,59,0,0,-1620,27,0,0,27,0,0,0
44,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.8020760579717637,0.0001,0.5,50,36,22,1,11,0,3,3,3,0,1,1,16,0,4,2,13,0,0,1,82,0,3,3,60,0,1,-2160,36,0,0,36,0,0,0
45,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.798065677681905,0.0001,0.5,50,45,0,0,0,0,0,0,0,0,0,3,13,0,5,4,20,0,0,0,77,0,0,2,56,0,0,-1260,21,0,0,21,0,0,0
46,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7940753492934954,0.0001,0.5,50,29,22,3,11,0,0,4,4,0,0,0,12,0,0,0,17,0,0,3,86,0,0,4,57,0,0,-2280,38,0,0,38,0,0,0
47,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7901049725470279,0.0001,0.5,50,51,0,0,0,0,0,0,0,0,0,1,21,0,0,4,25,0,0,0,83,0,0,0,54,0,0,-960,16,0,0,16,0,0,0
48,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7861544476842928,0.0001,0.5,50,43,25,2,8,0,5,3,5,0,2,0,19,0,2,0,21,0,1,2,84,0,5,3,54,0,2,-2362,39,2,0,41,0,0,0
49,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7822236754458713,0.0001,0.5,50,53,9,1,5,0,0,0,2,0,1,2,13,2,8,6,14,0,8,1,80,0,0,2,51,0,1,-1173,19,3,0,22,0,0,0
50,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.778312557068642,0.0001,0.5,50,28,23,3,9,0,2,4,5,0,0,0,13,0,2,1,8,0,4,3,81,0,2,4,53,0,0,-2302,38,2,0,40,0,0,0
51,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7744209942832988,0.0001,0.5,50,46,7,0,2,0,0,1,4,0,0,6,21,0,3,2,14,0,0,0,77,0,0,4,52,0,0,-660,11,0,0,11,0,0,0
52,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7705488893118823,0.0001,0.5,50,32,23,4,6,0,1,4,8,0,0,3,10,2,5,0,10,0,2,4,79,0,1,4,56,0,0,-2040,34,0,0,34,0,0,0
53,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7666961448653229,0.0001,0.5,50,65,2,0,1,0,0,1,0,0,0,8,28,0,4,2,22,0,1,3,76,0,0,3,49,0,0,-1042,17,2,0,19,0,0,0
54,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7628626641409962,0.0001,0.5,50,23,40,4,16,3,2,5,9,0,1,1,3,0,0,1,18,0,0,4,84,3,2,5,50,0,1,-2580,43,0,0,43,0,0,0
55,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7590483508202912,0.0001,0.5,50,46,0,0,0,0,0,0,0,0,0,5,12,0,3,2,22,2,0,2,82,0,1,2,48,0,0,-562,9,2,0,11,0,0,0
56,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7552531090661897,0.0001,0.5,50,33,26,7,6,0,1,2,10,0,0,0,10,0,0,4,17,0,2,7,84,0,1,2,56,0,0,-2100,35,0,0,35,0,0,0
57,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7514768435208588,0.0001,0.5,50,56,0,0,0,0,0,0,0,0,0,5,21,0,6,0,24,0,0,4,81,0,0,0,51,0,0,-1140,19,0,0,19,0,0,0
58,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7477194593032545,0.0001,0.5,50,38,26,6,9,0,1,2,8,0,0,2,8,0,1,3,22,0,2,6,88,0,1,2,53,0,0,-2640,44,0,0,44,0,0,0
59,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7439808620067382,0.0001,0.5,50,52,0,0,0,0,0,0,0,0,0,2,16,0,6,6,18,0,4,0,85,0,0,1,51,0,0,-1500,25,0,0,25,0,0,0
60,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7402609576967045,0.0001,0.5,50,58,24,3,6,0,5,4,6,0,0,2,23,3,1,3,25,1,0,3,89,0,5,4,49,0,0,-2471,41,1,0,42,0,0,0
61,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.736559652908221,0.0001,0.5,50,44,10,0,2,0,0,0,8,0,0,3,11,0,4,1,24,0,1,0,86,0,0,0,52,0,0,-2193,36,3,0,39,0,0,0
62,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7328768546436799,0.0001,0.5,50,34,9,3,2,0,0,0,4,0,0,3,11,0,6,0,14,0,0,3,85,0,0,0,52,0,0,-2231,37,1,0,38,0,0,0
63,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7292124703704616,0.0001,0.5,50,59,10,1,2,1,2,1,3,0,0,4,26,2,4,1,21,1,0,2,84,1,2,1,53,0,0,-1620,27,0,0,27,0,0,0
64,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7255664080186093,0.0001,0.5,50,69,19,2,7,0,2,3,5,0,0,0,15,0,7,4,42,0,1,2,83,0,2,3,55,0,0,-2531,42,1,0,43,0,0,0
65,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7219385759785162,0.0001,0.5,50,46,11,1,5,0,0,0,5,0,0,2,9,4,1,1,28,0,1,1,82,0,0,0,55,0,0,-3071,51,1,0,52,0,0,0
66,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7183288830986236,0.0001,0.5,50,45,13,2,7,0,2,0,1,0,1,9,13,0,3,3,14,0,3,2,81,0,2,0,54,0,1,-2111,35,1,0,36,0,0,0
67,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7147372386831305,0.0001,0.5,50,48,15,4,5,0,2,0,4,0,0,4,18,1,1,3,21,0,0,4,81,0,2,0,55,0,0,-1920,32,0,0,32,0,0,0
68,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7111635524897149,0.0001,0.5,50,51,11,0,5,0,1,1,3,0,1,5,18,0,4,0,23,0,1,0,82,0,1,1,56,0,1,-2160,36,0,0,36,0,0,0
69,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7076077347272662,0.0001,0.5,50,38,16,3,9,0,0,0,3,0,1,5,18,2,3,0,10,0,0,3,85,0,0,0,53,0,1,-2160,36,0,0,36,0,0,0
70,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7040696960536299,0.0001,0.5,50,70,11,1,3,0,0,0,7,0,0,3,19,0,5,10,31,0,2,1,82,0,0,0,55,0,0,-1391,23,1,0,24,0,0,0
71,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.7005493475733617,0.0001,0.5,50,31,18,1,8,1,0,4,4,0,0,0,15,0,3,3,10,0,0,1,83,1,0,4,51,0,0,-3273,54,3,0,57,0,0,0
72,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.697046600835495,0.0001,0.5,50,39,9,2,1,1,3,1,1,0,0,2,6,3,11,0,15,0,2,2,84,1,3,1,47,0,0,-1200,20,0,0,20,0,0,0
73,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6935613678313175,0.0001,0.5,50,72,24,7,9,1,0,2,4,0,1,6,24,0,2,6,28,1,5,7,89,1,1,2,46,0,1,-1451,24,1,0,25,0,0,0
74,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6900935609921609,0.0001,0.5,50,51,8,1,2,0,0,1,4,0,0,7,21,2,3,0,17,1,0,3,88,0,0,1,43,0,0,-3142,52,2,0,54,0,0,0
75,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6866430931872001,0.0001,0.5,50,44,21,2,8,0,3,1,7,0,0,6,14,0,3,5,15,0,1,2,94,0,3,1,44,0,0,-2351,39,1,0,40,0,0,0
76,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6832098777212641,0.0001,0.5,50,44,2,1,0,0,0,0,1,0,0,8,10,0,0,2,19,0,5,1,91,0,0,0,43,0,0,-1991,33,1,0,34,0,0,0
77,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6797938283326578,0.0001,0.5,50,57,18,2,8,0,3,0,5,0,0,3,14,1,1,7,31,0,0,2,98,0,3,0,46,0,0,-2400,40,0,0,40,0,0,0
78,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6763948591909945,0.0001,0.5,50,34,4,0,2,0,0,0,1,0,1,0,5,2,3,8,15,1,0,0,96,0,0,0,40,0,1,-2493,41,3,0,44,0,0,0
79,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6730128848950395,0.0001,0.5,50,38,17,2,5,1,0,3,6,0,0,2,13,0,3,1,16,0,3,2,98,1,0,3,43,0,0,-1653,27,3,0,30,0,0,0
80,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6696478204705644,0.0001,0.5,50,31,2,0,0,0,0,0,2,0,0,5,7,3,0,8,4,0,4,0,97,0,0,0,42,0,0,-1691,28,1,0,29,0,0,0
81,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6662995813682115,0.0001,0.5,50,83,12,1,3,1,0,1,6,0,0,9,19,0,9,8,38,0,0,1,99,1,0,1,46,0,0,-1691,28,1,0,29,0,0,0
82,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6629680834613705,0.0001,0.5,50,33,7,2,3,0,0,1,1,0,0,5,8,0,1,2,14,3,0,2,95,0,0,1,43,0,0,-4151,69,1,0,70,0,0,0
83,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6596532430440636,0.0001,0.5,50,83,21,2,6,0,0,5,8,0,0,0,22,0,7,6,44,0,4,2,88,0,0,5,51,0,0,-1042,17,2,0,19,0,0,0
84,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6563549768288433,0.0001,0.5,50,31,12,1,5,0,0,3,2,0,1,4,6,0,2,3,14,0,2,1,84,0,0,3,47,0,1,-3660,61,0,0,61,0,0,0
85,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.653073201944699,0.0001,0.5,50,65,13,3,4,0,1,1,4,0,0,12,22,0,10,0,16,2,3,4,80,0,1,4,50,0,0,-1304,21,4,0,25,0,0,0
86,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6498078359349755,0.0001,0.5,50,33,17,2,7,0,2,0,6,0,0,2,17,0,7,2,5,0,0,2,83,0,2,0,55,0,0,-3060,51,0,0,51,0,0,0
87,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6465587967553006,0.0001,0.5,50,67,9,2,2,1,0,2,2,0,0,8,13,0,11,5,28,0,2,2,79,1,0,2,53,0,0,-1151,19,1,0,20,0,0,0
88,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6433260027715241,0.0001,0.5,50,29,26,3,14,0,0,1,8,0,0,0,12,0,2,2,12,1,0,3,86,0,0,1,56,0,0,-3000,50,0,0,50,0,0,0
89,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6401093727576664,0.0001,0.5,50,41,0,0,0,0,0,0,0,0,0,3,10,2,4,5,17,0,0,1,84,0,0,0,54,0,0,-1331,22,1,0,23,0,0,0
90,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6369088258938781,0.0001,0.5,50,69,17,1,6,0,0,0,10,0,0,4,27,0,6,4,27,0,1,1,86,0,0,0,63,0,0,-2100,35,0,0,35,0,0,0
91,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6337242817644086,0.0001,0.5,50,44,0,0,0,0,0,0,0,0,0,3,15,0,1,3,22,0,0,0,79,0,0,0,56,0,0,-3251,54,1,0,55,0,0,0
92,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6305556603555866,0.0001,0.5,50,49,22,3,9,1,2,0,6,0,1,2,14,0,6,4,20,0,3,3,85,1,2,0,58,0,1,-2220,37,0,0,37,0,0,0
93,True,reg_5,request_scratch,cau100_afr0_asi0_5,regional_5,50,150,730,70,0,0.995,0.01,0.6274028820538087,0.0001,0.5,50,54,0,0,0,0,0,0,0,0,0,4,20,0,6,2,20,0,2,2,82,0,0,0,56,0,0,-2351,39,1,0,40,0,0,0
